Request TimeStamp,Request Target,Request Data,Response TimeStamp,Response Source,Response Data,Communication Error
0.00000s,FuncGroup-0x700,10 03 (2 Bytes),0.00855s,Suzuki_SLP1,50 03 00 32 01 F4 (6 Bytes)
0.10072s,FuncGroup-0x700,85 02 00 (3 Bytes),0.10856s,Suzuki_SLP1,C5 02 (2 Bytes)
0.20221s,FuncGroup-0x700,28 03 01 (3 Bytes),0.20856s,Suzuki_SLP1,68 03 (2 Bytes)
0.26476s,Suzuki SLP1,10 02 (2 Bytes),2.08743s,Suzuki SLP1,50 02 00 32 01 F4 (6 Bytes)
2.11119s,Suzuki SLP1,27 01 (2 Bytes),2.11494s,Suzuki SLP1,67 01 C0 BD 9B 96 77 89 A9 0F B3 3E 2D 14 49 43 94 B5 (18 Bytes)
2.13787s,Suzuki SLP1,27 02 3F 42 64 69 88 76 56 F0 4C C1 D2 EB B6 BC 6B 4A (18 Bytes),2.13837s,Suzuki SLP1,67 02 (2 Bytes)
2.14424s,Suzuki SLP1,2E F1 98 00 11 22 33 44 55 66 77 88 99 (13 Bytes),2.14651s,Suzuki SLP1,6E F1 98 (3 Bytes)
2.14932s,Suzuki SLP1,2E F1 99 20 26 08 16 (7 Bytes),2.15096s,Suzuki SLP1,6E F1 99 (3 Bytes)
2.16472s,Suzuki SLP1,31 01 FF 00 00 (5 Bytes),43.98252s,Suzuki SLP1,71 01 FF 00 (4 Bytes)
3.91906s,FuncGroup-0x700,3E 80 (2 Bytes),,,
7.91967s,FuncGroup-0x700,3E 80 (2 Bytes),,,
11.92008s,FuncGroup-0x700,3E 80 (2 Bytes),,,
15.92068s,FuncGroup-0x700,3E 80 (2 Bytes),,,
19.92201s,FuncGroup-0x700,3E 80 (2 Bytes),,,
23.92269s,FuncGroup-0x700,3E 80 (2 Bytes),,,
27.92328s,FuncGroup-0x700,3E 80 (2 Bytes),,,
31.92390s,FuncGroup-0x700,3E 80 (2 Bytes),,,
35.92472s,FuncGroup-0x700,3E 80 (2 Bytes),,,
